HITId,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.storageLink,Input.tags,Answer.nomore,Answer.notpossible,Answer.selectedtags_manual,Answer.selectedtags_tags
1,1,6,Mon Sep 02 08:52:40 PDT 2019,Mon Sep 02 08:55:07 PDT 2019,147,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,None of the tags describe organizations,None of the tags describe organizations,{},[]
1,2,15,Mon Sep 02 08:52:02 PDT 2019,Mon Sep 02 08:55:50 PDT 2019,228,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""car manufacturer"",""sedan"",""sports car"",""public relations""]"
1,3,25,Mon Sep 02 09:00:32 PDT 2019,Mon Sep 02 09:03:06 PDT 2019,154,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""bugatti"",""porsche"",""lamborghini"",""car manufacturer""]"
1,4,5,Mon Sep 02 08:54:22 PDT 2019,Mon Sep 02 09:00:54 PDT 2019,392,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""public relations"",""sedan"",""sports car"",""car manufacturer""]"
1,5,1,Mon Sep 02 08:53:18 PDT 2019,Mon Sep 02 08:57:42 PDT 2019,264,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},None seem appropriate to the video.,{},[]
1,6,9,Mon Sep 02 08:52:30 PDT 2019,Mon Sep 02 08:59:21 PDT 2019,411,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""sedan"",""car manufacturer"",""sports car""]"
1,7,16,Mon Sep 02 08:53:23 PDT 2019,Mon Sep 02 09:09:57 PDT 2019,994,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,The two most relevant tags are the 'Sedan' and 'Car Manufacturers' but the other tags either pertain to other manufacturers not mentioned in this news segment or the remaining tags are not relevant.,{},{},"[""sedan"",""car manufacturer""]"
1,8,23,Mon Sep 02 08:53:29 PDT 2019,Mon Sep 02 09:03:37 PDT 2019,608,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""convertible"",""car manufacturer"",""sedan""]"
1,9,14,Mon Sep 02 08:52:11 PDT 2019,Mon Sep 02 08:57:15 PDT 2019,304,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,none of the other tags refer to organizations relevant to the content of the video,{},{},"[""car manufacturer""]"
1,10,24,Mon Sep 02 08:57:18 PDT 2019,Mon Sep 02 09:01:31 PDT 2019,253,j_70OVLHHPc.mp4,smile_###_sedan_###_public transport_###_lamborghini_###_porsche_###_public relations_###_sports car_###_smoking_###_bugatti_###_convertible_###_car manufacturer,{},{},{},"[""sports car"",""sedan"",""car manufacturer"",""public relations""]"
