ItemIndex,Item,Repetition,Rater,RaterIndex,Relevance
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,3,3,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,4,4,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,7,7,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,8,8,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,9,9,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,10,10,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,11,11,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,12,12,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,13,13,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,15,15,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,21,21,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,24,24,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,25,25,0
1,j_70OVLHHPc.mp4-hair coloring,Repetition 1,26,26,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,3,3,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,4,4,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,7,7,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,8,8,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,9,9,1
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,10,10,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,11,11,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,12,12,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,13,13,1
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,15,15,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,21,21,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,24,24,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,25,25,0
2,j_70OVLHHPc.mp4-entertainment,Repetition 1,26,26,0
3,j_70OVLHHPc.mp4-auto show,Repetition 1,3,3,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,4,4,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,7,7,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,8,8,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,9,9,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,10,10,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,11,11,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,12,12,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,13,13,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,15,15,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,21,21,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,24,24,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,25,25,1
3,j_70OVLHHPc.mp4-auto show,Repetition 1,26,26,1
4,j_70OVLHHPc.mp4-event,Repetition 1,3,3,1
4,j_70OVLHHPc.mp4-event,Repetition 1,4,4,0
4,j_70OVLHHPc.mp4-event,Repetition 1,7,7,1
4,j_70OVLHHPc.mp4-event,Repetition 1,8,8,1
4,j_70OVLHHPc.mp4-event,Repetition 1,9,9,0
4,j_70OVLHHPc.mp4-event,Repetition 1,10,10,0
4,j_70OVLHHPc.mp4-event,Repetition 1,11,11,1
4,j_70OVLHHPc.mp4-event,Repetition 1,12,12,0
4,j_70OVLHHPc.mp4-event,Repetition 1,13,13,1
