ItemIndex,Item,Repetition,Rater,RaterIndex,Relevance
1,j_70OVLHHPc.mp4-smile,Repetition 1,1,1,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,4,4,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,5,5,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,6,6,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,9,9,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,13,13,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,14,14,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,15,15,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,16,16,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,18,18,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,19,19,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,20,20,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,23,23,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,24,24,0
1,j_70OVLHHPc.mp4-smile,Repetition 1,25,25,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,1,1,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,4,4,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,5,5,1
2,j_70OVLHHPc.mp4-sedan,Repetition 1,6,6,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,9,9,1
2,j_70OVLHHPc.mp4-sedan,Repetition 1,13,13,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,14,14,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,15,15,1
2,j_70OVLHHPc.mp4-sedan,Repetition 1,16,16,1
2,j_70OVLHHPc.mp4-sedan,Repetition 1,18,18,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,19,19,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,20,20,0
2,j_70OVLHHPc.mp4-sedan,Repetition 1,23,23,1
2,j_70OVLHHPc.mp4-sedan,Repetition 1,24,24,1
2,j_70OVLHHPc.mp4-sedan,Repetition 1,25,25,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,1,1,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,4,4,1
3,j_70OVLHHPc.mp4-public transport,Repetition 1,5,5,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,6,6,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,9,9,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,13,13,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,14,14,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,15,15,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,16,16,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,18,18,1
3,j_70OVLHHPc.mp4-public transport,Repetition 1,19,19,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,20,20,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,23,23,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,24,24,0
3,j_70OVLHHPc.mp4-public transport,Repetition 1,25,25,0
4,j_70OVLHHPc.mp4-lamborghini,Repetition 1,1,1,0
